polkit-qt5 0.114.0-1
poppler 22.09.0-1
poppler-data 0.4.11-1
poppler-glib 22.09.0-1
poppler-qt5 22.09.0-1
popt 1.18-3
potrace 1.16-2
powerdevil 5.25.5-1
powerline-common 2.8.3-1
powerline-fonts 2.8.3-1
preload 0.6.4-7
print-manager 22.08.1-1
prison 5.98.0-1
procps-ng 3.3.17-1
psmisc 23.5-1
pulseaudio 16.1-1
pulseaudio-alsa 1:1.2.7.1-1
pulseaudio-bluetooth 16.1-1
purpose 5.98.0-1
python 3.10.7-1
python-appdirs 1.4.4-7
python-autocommand 2.2.1-1
python-cairo 1.21.0-1
python-chardet 5.0.0-1
python-click 8.1.3-1
python-cssselect 1.1.0-9
python-distro 1.7.0-1
python-evdev 1.6.0-1
python-gobject 3.42.2-1
python-idna 3.4-1
python-importlib-metadata 4.9.0-1
python-inflect 6.0.0-1
python-jaraco.context 4.1.2-1
python-jaraco.functools 3.5.1-1
python-jaraco.text 3.9.1-1
python-lxml 4.9.1-1
python-mako 1.2.2-1
python-markdown 3.4.1-1
python-markupsafe 2.1.1-1
python-more-itertools 8.13.0-2
python-notify2 0.3.1-7
python-nspektr 0.4.0-2
python-numpy 1.23.3-1
python-ordered-set 4.1.0-1
python-packaging 21.3-1
python-pillow 9.2.0-1
python-pip 22.2.2-2
python-ply 3.11-10
python-psutil 5.9.2-1
python-pydantic 1.10.2-1
python-pyinotify 0.9.6-11
python-pyparsing 3.0.9-1
python-pyqt5 5.15.7-2
python-pyqt5-sip 12.11.0-1
python-pyqt5-webengine 5.15.6-1
python-requests 2.28.1-1
python-ruamel-yaml 0.17.21-1
python-ruamel.yaml.clib 0.2.6-3
python-setuptools 1:62.3.4-1
python-six 1.16.0-6
python-tomli 2.0.1-1
python-trove-classifiers 2022.8.31-1
python-typing_extensions 4.3.0-1
python-urllib3 1.26.12-1
python-validate-pyproject 0.10.1-1
python-xlib 0.31-3
python-yaml 6.0-1
python-zipp 3.8.1-1
qca-qt5 2.3.4-3
qemu-audio-spice 7.1.0-5
qemu-base 7.1.0-5
qemu-block-curl 7.1.0-5
qemu-block-dmg 7.1.0-5
qemu-block-nfs 7.1.0-5
qemu-block-ssh 7.1.0-5
qemu-chardev-spice 7.1.0-5
qemu-common 7.1.0-5
qemu-hw-display-qxl 7.1.0-5
qemu-hw-display-virtio-gpu 7.1.0-5
qemu-hw-display-virtio-gpu-gl 7.1.0-5
qemu-hw-display-virtio-gpu-pci 7.1.0-5
qemu-hw-display-virtio-gpu-pci-gl 7.1.0-5
qemu-hw-display-virtio-vga 7.1.0-5
qemu-hw-display-virtio-vga-gl 7.1.0-5
qemu-hw-s390x-virtio-gpu-ccw 7.1.0-5
qemu-hw-usb-host 7.1.0-5
qemu-hw-usb-redirect 7.1.0-5
qemu-hw-usb-smartcard 7.1.0-5
qemu-img 7.1.0-5
qemu-pr-helper 7.1.0-5
qemu-system-x86 7.1.0-5
qemu-tools 7.1.0-5
qemu-ui-curses 7.1.0-5
qemu-ui-opengl 7.1.0-5
qemu-ui-spice-app 7.1.0-5
qemu-ui-spice-core 7.1.0-5
qemu-virtiofsd 7.1.0-5
qpdf 11.1.0-1
qqc2-desktop-style 5.98.0-1
qrencode 4.1.1-1
qt5-base 5.15.6+kde+r177-1
qt5-declarative 5.15.6+kde+r20-1
qt5-graphicaleffects 5.15.6+kde+r0-1
qt5-location 5.15.6+kde+r3-1
qt5-multimedia 5.15.6+kde+r1-1
qt5-quickcontrols 5.15.6+kde+r0-1
qt5-quickcontrols2 5.15.6+kde+r5-1
qt5-speech 5.15.6+kde+r1-1
qt5-svg 5.15.6+kde+r9-1
qt5-tools 5.15.6+kde+r1-1
qt5-translations 5.15.6+kde+r2-1
qt5-wayland 5.15.6+kde+r49-1
